,Harbor,Date,isKorean,Full_10,Empty_10,Full_20,Empty_20,Full_40,Empty_40,Full_other,Empty_other,R/T
167,"Pyeongtaek, Dangjin",2020-02-01,FALSE,0,0,5528,4363,6930,3052,0,0,401021
168,"Pyeongtaek, Dangjin",2020-03-01,TRUE,0,0,3229,1626,2485,1543,0,0,179628
169,"Pyeongtaek, Dangjin",2020-03-01,FALSE,0,0,12296,7860,11401,4379,0,0,766226
170,"Pyeongtaek, Dangjin",2020-04-01,TRUE,0,0,3800,2235,3082,1598,0,0,222773
171,"Pyeongtaek, Dangjin",2020-04-01,FALSE,0,0,13950,8895,11712,4025,0,0,831922
172,"Pyeongtaek, Dangjin",2020-05-01,TRUE,0,0,3005,1784,2500,905,0,0,177240
173,"Pyeongtaek, Dangjin",2020-05-01,FALSE,0,0,12676,7617,13282,3971,0,0,883092
174,Gyeongin Port,2018-01-01,TRUE,0,0,0,0,0,0,0,0,0
175,Gyeongin Port,2018-01-01,FALSE,0,0,687,403,361,58,0,0,30646
176,Gyeongin Port,2018-02-01,TRUE,0,0,0,0,0,0,0,0,0
177,Gyeongin Port,2018-02-01,FALSE,0,0,359,534,203,31,0,0,15826
178,Gyeongin Port,2018-03-01,TRUE,0,0,0,0,0,0,0,0,0
179,Gyeongin Port,2018-03-01,FALSE,0,0,537,328,190,9,0,0,18904
180,Gyeongin Port,2018-04-01,TRUE,0,0,0,0,0,0,0,0,0
181,Gyeongin Port,2018-04-01,FALSE,0,0,613,473,238,54,0,0,23443
182,Gyeongin Port,2018-05-01,TRUE,0,0,0,0,0,0,0,0,0
183,Gyeongin Port,2018-05-01,FALSE,0,0,786,564,352,110,0,0,31662
184,Gyeongin Port,2018-06-01,TRUE,0,0,0,0,0,0,0,0,0
185,Gyeongin Port,2018-06-01,FALSE,0,0,643,497,283,85,0,0,25726
186,Gyeongin Port,2018-07-01,TRUE,0,0,0,0,0,0,0,0,0
187,Gyeongin Port,2018-07-01,FALSE,0,0,608,527,401,87,0,0,30229
188,Gyeongin Port,2018-08-01,TRUE,0,0,0,0,0,0,0,0,0
189,Gyeongin Port,2018-08-01,FALSE,0,0,522,534,335,54,0,0,24868
190,Gyeongin Port,2018-09-01,TRUE,0,0,0,0,0,0,0,0,0
191,Gyeongin Port,2018-09-01,FALSE,0,0,504,500,364,32,0,0,25224
192,Gyeongin Port,2018-10-01,TRUE,0,0,0,0,0,0,0,0,0
193,Gyeongin Port,2018-10-01,FALSE,0,0,497,517,341,8,0,0,24463
194,Gyeongin Port,2018-11-01,TRUE,0,0,0,0,0,0,0,0,0
195,Gyeongin Port,2018-11-01,FALSE,0,0,571,462,283,6,0,0,23126
196,Gyeongin Port,2018-12-01,TRUE,0,0,0,0,0,0,0,0,0
197,Gyeongin Port,2018-12-01,FALSE,0,0,650,496,333,40,0,0,27833
198,Gyeongin Port,2019-01-01,TRUE,0,0,0,0,0,0,0,0,0
199,Gyeongin Port,2019-01-01,FALSE,0,0,517,519,624,219,0,0,39251
200,Gyeongin Port,2019-02-01,TRUE,0,0,0,0,0,0,0,0,0
201,Gyeongin Port,2019-02-01,FALSE,0,0,318,292,305,394,0,0,20639
202,Gyeongin Port,2019-03-01,TRUE,0,0,0,0,0,0,0,0,0
203,Gyeongin Port,2019-03-01,FALSE,0,0,568,405,274,193,0,0,22970
204,Gyeongin Port,2019-04-01,TRUE,0,0,0,0,0,0,0,0,0
205,Gyeongin Port,2019-04-01,FALSE,0,0,569,276,358,171,0,0,25741
206,Gyeongin Port,2019-05-01,TRUE,0,0,0,0,0,0,0,0,0
207,Gyeongin Port,2019-05-01,FALSE,0,0,527,711,440,212,0,0,30080
208,Gyeongin Port,2019-06-01,TRUE,0,0,0,0,0,0,0,0,0
209,Gyeongin Port,2019-06-01,FALSE,0,0,506,543,338,219,0,0,25248
210,Gyeongin Port,2019-07-01,TRUE,0,0,0,0,0,0,0,0,0
211,Gyeongin Port,2019-07-01,FALSE,0,0,722,459,410,166,0,0,147435
212,Gyeongin Port,2019-08-01,TRUE,0,0,0,0,0,0,0,0,0
213,Gyeongin Port,2019-08-01,FALSE,0,0,595,533,478,228,0,0,33034
214,Gyeongin Port,2019-09-01,TRUE,0,0,0,0,0,0,0,0,0
215,Gyeongin Port,2019-09-01,FALSE,0,0,533,480,425,96,0,0,30655
216,Gyeongin Port,2019-10-01,TRUE,0,0,0,0,0,0,0,0,0
217,Gyeongin Port,2019-10-01,FALSE,0,0,645,432,452,104,0,0,33928
218,Gyeongin Port,2019-11-01,TRUE,0,0,0,0,0,0,0,0,0
219,Gyeongin Port,2019-11-01,FALSE,0,0,432,652,347,116,0,0,23952
220,Gyeongin Port,2019-12-01,TRUE,0,0,0,0,0,0,0,0,0
221,Gyeongin Port,2019-12-01,FALSE,0,0,799,585,542,244,0,0,40992
222,Gyeongin Port,2020-01-01,TRUE,0,0,0,0,0,0,0,0,0
223,Gyeongin Port,2020-01-01,FALSE,0,0,452,463,445,231,0,0,30006
224,Gyeongin Port,2020-02-01,TRUE,0,0,0,0,0,0,0,0,0
225,Gyeongin Port,2020-02-01,FALSE,0,0,255,486,239,133,0,0,15465
226,Gyeongin Port,2020-03-01,TRUE,0,0,0,0,0,0,0,0,0
227,Gyeongin Port,2020-03-01,FALSE,0,0,333,452,216,34,0,0,16349
228,Gyeongin Port,2020-04-01,TRUE,0,0,0,0,0,0,0,0,0
229,Gyeongin Port,2020-04-01,FALSE,0,0,648,567,450,37,0,0,33833
230,Gyeongin Port,2020-05-01,TRUE,0,0,0,0,0,0,0,0,0
231,Gyeongin Port,2020-05-01,FALSE,0,0,734,545,436,94,0,0,34625
232,"East Sea, Mukho",2018-01-01,TRUE,0,0,0,0,0,0,0,0,0
233,"East Sea, Mukho",2018-01-01,FALSE,0,0,6,14,13,14,0,0,674
234,"East Sea, Mukho",2018-02-01,TRUE,0,0,0,0,0,0,0,0,0
235,"East Sea, Mukho",2018-02-01,FALSE,0,0,15,9,18,21,0,0,1038
236,"East Sea, Mukho",2018-03-01,TRUE,0,0,0,0,0,0,0,0,0
237,"East Sea, Mukho",2018-03-01,FALSE,0,0,33,40,41,23,0,0,2252
238,"East Sea, Mukho",2018-04-01,TRUE,0,0,0,0,0,0,0,0,0
239,"East Sea, Mukho",2018-04-01,FALSE,0,0,51,41,36,24,0,0,2391
240,"East Sea, Mukho",2018-05-01,TRUE,0,0,0,0,0,0,0,0,0
241,"East Sea, Mukho",2018-05-01,FALSE,0,0,35,27,20,19,0,0,1425
242,"East Sea, Mukho",2018-06-01,TRUE,0,0,0,0,0,0,0,0,0
243,"East Sea, Mukho",2018-06-01,FALSE,0,0,27,22,40,23,0,0,2062
244,"East Sea, Mukho",2018-07-01,TRUE,0,0,0,0,0,0,0,0,0
245,"East Sea, Mukho",2018-07-01,FALSE,0,0,26,18,46,40,0,0,2253
246,"East Sea, Mukho",2018-08-01,TRUE,0,0,0,0,0,0,0,0,0
247,"East Sea, Mukho",2018-08-01,FALSE,0,0,24,21,21,21,0,0,1407
248,"East Sea, Mukho",2018-09-01,TRUE,0,0,0,0,0,0,0,0,0
249,"East Sea, Mukho",2018-09-01,FALSE,0,0,32,29,35,37,0,0,1984
250,"East Sea, Mukho",2018-10-01,TRUE,0,0,0,0,0,0,0,0,0
251,"East Sea, Mukho",2018-10-01,FALSE,0,0,32,21,20,24,0,0,1497
252,"East Sea, Mukho",2018-11-01,TRUE,0,0,0,0,0,0,0,0,0
253,"East Sea, Mukho",2018-11-01,FALSE,0,0,25,25,43,40,0,0,2223
254,"East Sea, Mukho",2018-12-01,TRUE,0,0,0,0,0,0,0,0,0
255,"East Sea, Mukho",2018-12-01,FALSE,0,0,23,20,22,31,0,0,1368
256,"East Sea, Mukho",2019-01-01,TRUE,0,0,0,0,0,0,0,0,0
257,"East Sea, Mukho",2019-01-01,FALSE,0,0,20,15,24,23,0,0,1321
258,"East Sea, Mukho",2019-02-01,TRUE,0,0,0,0,0,0,0,0,0
259,"East Sea, Mukho",2019-02-01,FALSE,0,0,9,15,13,16,0,0,745
260,"East Sea, Mukho",2019-03-01,TRUE,0,0,0,0,0,0,0,0,0
261,"East Sea, Mukho",2019-03-01,FALSE,0,0,27,22,25,23,0,0,1586
262,"East Sea, Mukho",2019-04-01,TRUE,0,0,0,0,0,0,0,0,0
263,"East Sea, Mukho",2019-04-01,FALSE,0,0,27,30,39,30,0,0,2030
264,"East Sea, Mukho",2019-05-01,TRUE,0,0,0,0,0,0,0,0,0
265,"East Sea, Mukho",2019-05-01,FALSE,0,0,30,30,22,20,0,0,1470
266,"East Sea, Mukho",2019-06-01,TRUE,0,0,0,0,0,0,0,0,0
267,"East Sea, Mukho",2019-06-01,FALSE,1,0,32,24,65,33,0,0,3077
268,"East Sea, Mukho",2019-07-01,TRUE,0,0,0,0,0,0,0,0,0
269,"East Sea, Mukho",2019-07-01,FALSE,2,0,26,23,41,37,0,0,2123
270,"East Sea, Mukho",2019-08-01,TRUE,0,0,0,0,0,0,0,0,0
271,"East Sea, Mukho",2019-08-01,FALSE,0,1,20,17,32,27,0,0,1655
272,"East Sea, Mukho",2019-09-01,TRUE,0,0,0,0,0,0,0,0,0
273,"East Sea, Mukho",2019-09-01,FALSE,0,0,24,27,22,25,0,0,1255
274,"East Sea, Mukho",2019-10-01,TRUE,0,0,0,0,0,0,0,0,0
275,"East Sea, Mukho",2019-10-01,FALSE,0,0,52,35,35,22,0,0,2470
276,"East Sea, Mukho",2019-11-01,TRUE,0,0,0,0,0,0,0,0,0
277,"East Sea, Mukho",2019-11-01,FALSE,0,0,27,35,35,36,0,0,1848
278,"East Sea, Mukho",2019-12-01,TRUE,0,0,0,0,0,0,0,0,0
